NAME	LOCATION	AGE_MA	DIAM_KM	LAT	LONG
Newporte	North Dakota, U.S.A.	<500	3.2	48.97	-101.97
Nicholson	NW Territories, Canada	<400	12.5	62.67	-102.68
Oasis	Libya	<120	18.0	24.58	24.40
Obolon'	Ukraine	215 ± 25	15.0	49.50	32.92
Odessa	Texas, U.S.A.	<0.05	0.168	31.75	-102.48
Ouarkziz	Algeria	<70	3.5	29.00	-7.55
Piccaninny	W Australia, Australia	<360	7.0	-17.53	128.42
Pilot	NW Territories, Canada	445 ± 2	6.0	60.12	-111.02
Popigai	Russia	35.7 ± 0.2	100.0	71.67	111.67
Presquile	Quebec, Canada	<500	24.0	49.72	-74.80
Tswaing (formerly Pretoria Saltpan)	South Africa	0.220 ± 0.052	1.130	-25.40	28.08
Puchezh-Katunki	Russia	175 ± 3	80.0	57.10	43.58
Ragozinka	Russia	55 ± 5	9.0	58.30	62.00
Red Wing	North Dakota, U.S.A.	200 ± 25	9.0	47.60	-103.55
Riachao Ring	Brazil	<200	4.5	-7.72	-46.65
Ries	Germany	15 ± 1	24.0	48.88	10.62
Rio Cuarto	Argentina	<0.1	4.5	-32.87	-64.23
Rochechouart	France	214 ± 8	23.0	45.83	0.83
Roter Kamm	Namibia	3.7 ± 0.3	2.5	-27.77	16.30
Rotmistrovka	Ukraine	140 ± 20	2.7	49.00	32.00
Sääksjärvi	Finland	~560	6.0	61.40	22.40
Saint Martin	Manitoba, Canada	220 ± 32	40.0	51.78	-98.53
Serpent Mound	Ohio, U.S.A.	<320	8.0	39.03	-83.40
Serra da Cangalha	Brazil	<300	12.0	-8.08	-46.87
Shoemaker (Teague)	W'rn Australia, Australia	1630 ± 5	30.0	-25.87	120.88
Shunak	Kazakhstan	12 ± 5	3.1	47.18	72.70
Sierra Madera	Texas, U.S.A.	<100	13.0	30.60	-102.92
Sikhote Alin	Russia	0.000063	0.027	46.12	134.67
Siljan	Sweden	368.0 ± 1.1	52.0	61.03	14.87
Slate Islands	Ontario, Canada	~450	30.0	48.67	-87.00
Sobolev	Russia	<0.001	0.053	46.30	137.90
Söderfjärden	Finland	~600	5.5	62.90	21.70
Spider	Western Australia, Australia	>570	13.0	-16.73	126.08
Steen River	Alberta, Canada	95 ± 7	25.0	59.50	-117.63
Steinheim	Germany	15 ± 1	3.8	48.68	10.07
Strangways	Northern Territory, Australia	<470	25.0	-15.20	133.58
Suavjarvi	Russia	2400	16.0	63.12	33.38
Sudbury	Ontario, Canada	1850 ± 3	250.0	46.60	-81.18
Suvasvesi N	Finland	<1000	4.0	62.70	28.00
Tabun-Khara-Obo	Mongolia	>1.8	1.3	44.10	109.60
Talemzane	Algeria	<3	1.8	33.32	4.03
Tenoumer	Mauritania	2.5 ± 0.5	1.9	22.92	-10.40
Ternovka	Ukraine	350	15.0	48.02	33.08
Tin Bider	Algeria	<70	6.0	27.60	5.12
Tookoonooka	Queensland, Australia	128 ± 5	55.0	-27.12	142.83
Tvären	Sweden	>455	2.0	58.77	17.42
Upheaval Dome	Utah, U.S.A.	<65	10.0	38.43	-109.90
Ust-Kara	Russia	73 ± 3	25.0	69.30	65.30
Vargeao Dome	Brazil	<70	12.0	-26.83	-52.12
Veevers	W'rn Australia, Australia	<1	0.080	-22.97	125.37
Vepriai	Lithuania	>160 ± 30	8.0	55.17	24.57
Viewfield	Saskatchewan, Canada	190 ± 20	2.5	49.58	-103.07
Vredefort	South Africa	2023 ± 4	300.0	-27.00	27.50
Wabar	Saudi Arabia	0.006 ± 0.002	0.116	21.50	50.47
Wanapitei	Ontario, Canada	35.3 ± 2	7.5	46.75	-80.75
Wells Creek	Tennessee, U.S.A.	200 ± 100	12.0	36.38	-87.67
West Hawk	Manitoba, Canada	100 ± 50	2.4	49.77	-95.18
Wolfe Creek	W Australia, Australia	<0.3	0.875	-19.17	127.80
Zapadnaya	Ukraine	115 ± 10	4.0	49.73	29.00
Zeleny Gai	Ukraine	120 ± 20	2.5	48.70	32.90
Zhamanshin	Kazakhstan	0.9 ± 0.1	13.5	48.33	60.97
Bee Bluff	Texas, U.S.A.	<40	2.4	29.03	-113.00
Rock Elm	Wisconsin, U.S.A.	<505	6.0	44.72	-92.23
Wetumpka	Alabama, U.S.A.	81.0 ± 1.5	6.5	32.52	-86.17
Woodleigh	Australia	364 ± 8	120.0	-26.05	114.65
